run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
70,0,4,pronk,1.2000000476837158,0.0,-0.25,True,1000,10.0,timeout,0.9689782767742873,0.016279957696788187,-0.12981023945125345,0.24996563263237476,0.0472367796358958,0.12143929071513412,0.31503391026940464,0.05673872882157737,0.042946218777321014,0.21730569538039396,0.5025,0.959375,21.445383877456187,8.868755470144421,0.862
71,1,2,hop,0.0,0.4000000059604645,0.5,True,1000,10.0,timeout,0.3578182091432459,0.026603069430121275,0.33717600444496115,0.3578182091432459,0.3733969365303432,0.16491051406709148,0.320148725795,0.052519277950962034,0.11127726656734793,0.1313843809530666,0.523235294117647,0.7961764705882353,19.296935232667362,2.1042019482144765,0.897
72,1,2,hop,1.2000000476837158,0.0,-0.5,True,1000,10.0,timeout,0.9288768397359287,0.08590714248938157,-0.4645862798305119,0.2711232079477871,0.08652307830531808,0.08258560767945121,0.29818265959887075,0.01700125810464462,0.058024981756741624,0.11265742426762969,0.5114705882352941,0.9114705882352941,28.085183500963097,3.1484827974754737,0.881
73,3,5,limp,0.8999999761581421,0.0,0.25,True,1000,10.0,timeout,0.7438316414091322,-0.07847798733836195,0.22575177976370064,0.17481686777538724,0.07866294125450723,0.09245172120915313,0.3330262623284553,0.018940661786895064,0.079530057426717,0.09381615080475351,0.5219444444444444,0.9313888888888889,26.26186689482795,5.920236184708679,0.88
74,4,1,trot,0.8999999761581421,-0.20000000298023224,0.25,True,1000,10.0,timeout,0.6513601294491026,-0.0772720400409566,0.17362774563047828,0.24863984670903946,0.12272796293927564,0.11698683872275675,0.3381032665495142,0.003252694098670178,0.059641086888188345,0.05566976871543915,0.4872222222222222,0.9372222222222222,22.439671427408854,5.651818937199624,0.871
75,0,0,bound,0.0,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.151640253868718,-0.08144937118949504,0.2010944548016414,0.21056576024791462,0.11925379109652164,0.2989454208381681,0.3429560167281816,0.01474836140717152,0.015135668217841871,0.03046688434166453,0.4538888888888889,0.8883333333333333,26.50846505112118,1.469147132486822,0.867
76,0,2,hop,0.8999999761581421,0.4000000059604645,0.0,True,1000,10.0,timeout,0.7669016276387607,0.048324351869455044,-0.08537909355130978,0.13323680562131546,0.3516756540910094,0.10472046403116753,0.29923266704817936,0.017983110431806646,0.13472825052534093,0.08507042437170338,0.513235294117647,0.9197058823529412,28.061171308966244,7.225179436846408,0.89
77,2,0,bound,1.2000000476837158,0.4000000059604645,0.0,True,1000,10.0,timeout,0.7190514709552129,0.03220131354311484,-0.0480700918778651,0.4828954612546497,0.36779869241734964,0.10793393085709896,0.341354958267571,0.02066944340301885,0.012580004469369351,0.07345526875714595,0.4411111111111111,0.8794444444444445,27.285319894684687,6.971970281721032,0.868
78,4,2,hop,0.30000001192092896,0.4000000059604645,-0.25,True,1000,10.0,timeout,0.3624276358064483,0.05459593475033591,-0.1865606207364523,0.08620637446641922,0.34540407121012856,0.1063833542773928,0.3026920016884948,0.0341511145228172,0.07784543520106212,0.1266182837563882,0.5020588235294118,0.8897058823529411,24.026430676404168,3.1000421697798015,0.885
79,4,2,hop,1.2000000476837158,0.20000000298023224,-0.25,True,1000,10.0,timeout,0.934274722477969,0.07737871876791093,-0.2589880868204294,0.2657253252057468,0.12285455032049761,0.07677602635333589,0.29805841090137153,0.020148170232426297,0.0965593761284025,0.10819766704209872,0.5144117647058823,0.915,27.89073412726907,6.901967613719732,0.889
